"PDF","Method 1","Method 2","","Accepts Method 1","Accepts Method 2"
"0.040000","0.000000","0.000000","","1","5"
"0.120000","0.000000","0.000000","","1","7"
"0.200000","0.400000","0.000000","","1","8"
"0.280000","0.400000","0.600000","","2","9"
"0.360000","0.200000","0.400000","","2","9"
"","","","","2","10"
"","","","","2","11"
"","","","","2","12"
"","","","","3","14"
"","","","","3","14"
"","","","","3","14"
"","","","","3","14"
"","","","","3","14"
"","","","","3","15"
"","","","","3","15"
"","","","","4","15"
"","","","","4","15"
"","","","","5","15"
"","","","","5","17"
"","","","","5","17"
"","","","","5","17"
"","","","","5","17"
"","","","","5","18"
"","","","","5","18"
"","","","","5","18"
"","","","","6","18"
"","","","","6","19"
"","","","","6","19"
"","","","","6","19"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","20"
"","","","","6","21"
"","","","","6","21"
"","","","","6","21"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","6","22"
"","","","","7","22"
"","","","","7","22"
"","","","","7","22"
"","","","","7","22"
"","","","","7","22"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","23"
"","","","","7","24"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","25"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","26"
"","","","","7","27"
"","","","","7","27"
"","","","","7","27"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","28"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","7","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","8","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","29"
"","","","","9","30"
"","","","","9","30"
"","","","","10","30"
"","","","","10","30"
"","","","","10","30"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","10","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","11","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
"","","","","12","31"
